zone_id,n,med_excess,wx,wy,dens,logdens,resid
Zone_DH171,400,0.22781385541499904,237661.48,2635818.83,11.319,2.4264827296502833,0.028241619226389014
Zone_DH172,399,0.1190887152993475,237663.860952381,2637819.957819549,7.725,2.044461822783809,-0.04927185611655577
Zone_DH173,399,0.0887882117189242,237659.09904761906,2639816.950300752,5.344,1.6759744362343447,-0.049466403255247926
Zone_DH174,400,0.1991657890528315,237661.48,2641818.83,7.006,1.946766924775295,0.03878703316544668
Zone_DH175,397,0.1676447116999901,237661.10216624686,2643816.4370528967,6.831,1.9214710757497122,0.009332663539162872
Zone_DH176,313,0.0022091979258698,237571.8633865815,2645684.8044408946,2.837,1.0427471558267143,-0.08430982549879643
Zone_DH177,275,-0.0297020881213777,237567.84363636363,2647944.4663636363,1.262,0.23269776411902143,-0.05003889583774872
Zone_DH178,365,0.1924766865076642,237635.31561643837,2649824.994383562,1.069,0.06672363204290813,0.18570020723978634
Zone_DH180,108,0.0545317815717503,239429.0725925926,2618230.867037037,0.875,-0.13353139262452263,0.06411642963126923
Zone_DH181,356,0.034619195372188494,239657.82831460677,2619857.8749438203,4.931,1.5955418072419891,-0.0970639566067022
Zone_DH182,397,0.2606996027860292,239668.40695214106,2621825.756952141,13.175,2.578321094427426,0.048721950935923464
Zone_DH183,399,0.2106506100478548,239662.35719298248,2623816.449047619,13.338,2.5906171042101143,-0.002331643719269416
Zone_DH184,371,0.1843699897967416,239654.06760107816,2625831.0941509437,7.8,2.0541237336955462,0.015220026179991325
Zone_DH185,396,0.16110263390395613,239661.98505050506,2627824.8906060606,8.488,2.138653401311682,-0.014953526733852252
Zone_DH186,399,0.092779644080185,239661.35468671683,2629819.957819549,8.812,2.1761144289400964,-0.08633713710315767
Zone_DH187,248,0.0743206590900454,239592.52838709677,2631535.3622580646,6.812,1.918685762800442,-0.08376382494406223
Zone_DH188,353,0.1444646291766672,239624.79444759205,2633869.963144476,8.506,2.1407717968314417,-0.03176460746203624
Zone_DH189,400,0.0795266153306537,239661.48,2635818.83,10.494,2.35080366526452,-0.11386253101793842
Zone_DH190,379,0.0188404354997354,239696.4404221636,2637775.954010554,7.375,1.9980959022258835,-0.14573197264206272
Zone_DH191,237,-0.0214074458867178,239600.93147679328,2639761.235063291,2.869,1.0539635369992277,-0.10884286399771398
Zone_DH192,349,0.1103648087873259,239592.8553581662,2641823.2712607454,2.925,1.0732944806838198,0.02135002440820437
Zone_DH193,311,0.0976909276445837,239583.50572347268,2643691.016495177,2.913,1.0691834779772975,0.009012018177147349
Zone_DH194,172,-0.0297377734299421,239532.41023255815,2646146.736976744,1.006,0.005982071677547469,-0.031551578703233024
Zone_DH195,282,-0.06696693128626266,239651.55092198582,2647923.0853191493,0.731,-0.3133418192323586,-0.04269150935272964
Zone_DH196,361,-0.02759323378264,239618.95922437674,2649795.145789474,0.844,-0.16960278438617998,-0.015061500452881299
Zone_DH198,150,0.06330635567982285,241852.81333333332,2618378.1633333336,1.044,0.04305948946044701,0.058463271344373305
Zone_DH199,395,0.1872997629689756,241668.69518987343,2619830.348987342,5.481,1.7012875660639792,0.04697702840137319
Zone_DH200,400,0.2431489799155149,241661.48,2621818.83,8.544,2.145229282217839,0.06655556022528522
Zone_DH201,400,0.2800746775059613,241661.48,2623818.83,7.775,2.0509134580652977,0.11118699808622312
Zone_DH202,316,0.0947394149929198,241609.5812658228,2625701.1084810128,4.256,1.4483297520393432,-0.0249162975581802
Zone_DH203,315,0.0819569601223302,241577.51174603176,2627894.226825397,2.875,1.0560526742493137,-0.00564914354629345
Zone_DH204,321,0.1288859412268945,241560.0781308411,2629817.4281308413,3.188,1.1593937609279688,0.032836720187763194
Zone_DH205,236,0.13748566298498135,241519.53084745764,2631786.6266101697,2.631,0.9673640020581556,0.057125553071705845
Zone_DH206,353,0.1496547570814255,241574.65280453258,2633873.0792917847,3.969,1.3785141738009283,0.03570307900782002
Zone_DH207,396,-0.03752575052691625,241653.3991919192,2635810.2441414143,6.237,1.8304992975439855,-0.18840527184405792
Zone_DH208,376,-0.0079129578109131,241657.22468085107,2637775.47893617,5.138,1.6366638986876918,-0.14295584458412092
Zone_DH209,140,0.018049702523406,241565.05142857146,2639650.2585714287,3.35,1.208960345836975,-0.08204918073132898
Zone_DH210,211,-0.2353796947267241,241504.37099526066,2641700.109620853,1.794,0.5844477636366044,-0.2844549899745639
Zone_DH211,237,-0.1347138410101563,241745.23527426162,2643679.800464135,0.881,-0.12669765304595754,-0.12568751943234666
Zone_DH213,249,-0.185506893280579,241649.23100401607,2647889.311927711,0.756,-0.27971390280260405,-0.1639789211220316
Zone_DH214,238,-0.02867817203219905,241659.7993277311,2649591.51907563,0.581,-0.5430045221302259,0.0143610273930916
Zone_DH217,86,0.21987783543194256,242880.08465116282,2619809.5276744184,1.569,0.4504384737508955,0.18175129444640067
Zone_DH218,95,0.3047719724519535,242902.00631578948,2621814.0931578944,2.656,0.9768212316141874,0.2236391931028542
Zone_DH219,100,0.33508372882368265,242911.48,2623818.83,2.731,1.0046678424915678,0.25167584078775806
Zone_DH220,72,0.28012269741896034,242905.92444444448,2625718.83,1.3,0.26236426446749106,0.257362093394029
Zone_DH224,62,0.1713772116594711,242982.44774193547,2634360.765483871,0.806,-0.2156715364755087,0.18767282916641603
Zone_DH225,88,0.055464238982755404,243011.48,2635912.011818182,1.769,0.5704144151776481,0.007535488753438936
Zone_DH226,95,0.0501723038628518,242982.00631578948,2638080.408947368,1.55,0.4382549309311553,0.013041176079568409
Zone_DH227,166,0.44209647822659726,243078.34746987952,2639839.311927711,2.188,0.7829878845597349,0.37680016578623154
Zone_DH228,125,0.0884816223780251,243066.68,2641750.43,1.256,0.22793206804600694,0.06853417897540229
